Sample_ID	n	total_length	Mean	SD	min_length	max_length	Froh_1Mb	Froh_2Mb	Froh_4Mb	Froh_8Mb	Froh_16Mb
201977910016_R07C01	62	274.459195	4.43	3.95	1.021233	18.434494	0.11	0.1	0.072	0.043	0.007
201977910016_R07C02	4	11.294916	2.82	1.2	1.824417	4.569607	0.005	0.004	0.002		
201977910032_R03C01	47	176.572573	3.76	2.83	1.081467	11.373936	0.071	0.062	0.041	0.021	
201977910032_R03C02	18	50.603112	2.81	1.6	1.19183	6.077028	0.02	0.015	0.01		
201977910032_R05C02	55	279.54928	5.08	3.56	1.181616	17.348114	0.112	0.107	0.089	0.039	0.007
201977910032_R07C01	18	79.036507	4.39	4.08	1.337267	19.405951	0.032	0.028	0.021	0.008	0.008
201977910040_R08C01	18	71.158212	3.95	2.91	1.167995	10.059931	0.029	0.026	0.018	0.011	
201977910040_R08C02	60	373.705533	6.23	6.19	1.045313	34.986339	0.15	0.143	0.118	0.094	0.031
201977910056_R12C01	38	196.711575	5.18	4.34	1.419469	19.782957	0.079	0.074	0.058	0.04	0.008
201977910056_R12C02	54	315.216747	5.84	6.19	1.139486	29.826828	0.127	0.118	0.101	0.071	0.032
201977910057_R10C02	53	328.1932	6.19	6.07	1.477479	33.777349	0.132	0.124	0.109	0.079	0.03
201977910057_R12C01	24	111.65359	4.65	4.71	1.07742	21.29559	0.045	0.041	0.03	0.018	0.009
201977910057_R12C02	19	52.29936	2.75	1.73	1.27673	7.410594	0.021	0.017	0.009		
201977910060_R03C01	61	273.566135	4.48	3.96	1.021233	18.434494	0.11	0.1	0.072	0.043	0.007
201977910060_R03C02	4	11.294916	2.82	1.2	1.824417	4.569607	0.005	0.004	0.002		
201977910060_R05C02	79	398.944944	5.05	4.03	1.308571	24.98369	0.16	0.152	0.111	0.061	0.01
201977910060_R12C02	74	384.217139	5.19	3.73	1.013905	18.559864	0.154	0.147	0.117	0.067	0.014
201977910067_R01C01	43	168.21262	3.91	2.48	1.200847	10.956608	0.068	0.061	0.04	0.012	
201977910067_R01C02	8	22.279254	2.78	1.36	1.490024	5.350112	0.009	0.008	0.004		
201977910067_R02C01	43	267.419797	6.22	5.93	1.154956	23.048192	0.107	0.103	0.083	0.059	0.046
201977910067_R02C02	40	232.111289	5.8	5.79	1.12188	29.778043	0.093	0.088	0.075	0.054	0.026
201977910067_R03C01	21	66.203765	3.15	1.65	1.292086	7.224207	0.027	0.023	0.01		
201977910067_R03C02	21	72.285552	3.44	2.21	1.283193	8.109967	0.029	0.022	0.017	0.003	
201977910067_R04C01	22	100.312595	4.56	4.36	1.303763	14.879958	0.04	0.037	0.029	0.024	
201977910067_R04C02	38	188.882639	4.97	5.26	1.076869	22.949242	0.076	0.069	0.055	0.041	0.023
201977910067_R05C01	31	145.472734	4.69	4.53	1.106046	21.800602	0.058	0.052	0.041	0.032	0.009
201977910067_R05C02	29	100.402082	3.46	2.81	1.224395	12.157138	0.04	0.035	0.02	0.009	
201977910067_R06C01	20	106.39691	5.32	4.37	1.354402	17.762375	0.043	0.041	0.032	0.017	0.007
201977910067_R06C02	37	227.567107	6.15	8.37	1.023578	40.039531	0.091	0.086	0.068	0.047	0.038
201977910067_R07C01	24	71.974405	3	1.32	1.061078	5.624644	0.029	0.025	0.011		
201977910067_R07C02	18	79.459497	4.41	4.06	1.337267	19.405951	0.032	0.029	0.021	0.008	0.008
201977910067_R08C01	52	242.402313	4.66	3.72	1.203238	17.432255	0.097	0.09	0.07	0.037	0.007
201977910067_R08C02	56	243.295782	4.34	3.47	1.189215	15.101501	0.098	0.088	0.069	0.041	
